,D_01_01_Identite_Denomination,D_01_02_Identite_Codeidentnational,D_01_03_Identite_Correspondant,D_01_04_Identite_Contact,D_01_05_Identite_Adjudicateurnuts,D_01_06_Identite_Adresse,D_01_07_Identite_Cp,D_01_08_Identite_Ville,D_01_09_Identite_Pays,D_01_10_Identite_Tel,D_01_11_Identite_Poste,D_01_12_Identite_Fax,D_01_13_Identite_Mel,D_01_14_Identite_Url,D_01_15_Identite_Urlprofilacheteur,D_01_16_Identite_Urlinformation,D_01_17_Identite_Urlparticipation,D_01_18_Identite_Urldocument,D_01_19_Identite_Outillogiciel,D_01_20_Identite_Agitpourautrecompteoui,D_01_21_Identite_Agitpourautrecomptenon,D_01_22_Identite_Loicompteautrepays,D_01_23_Identite_Organismeacheteurcentraloui,D_01_24_Identite_Organismeacheteurcentralnon
21-12714,Ville de Ramatuelle,21830101800014,,,FRL05,60 Bd du 8 mai 1945,83350,Ramatuelle,,(+33) 4-98-12-66-66,,(+33) 4-94-79-26-33,info@mairie-ramatuelle.fr,http://www.ramatuelle.fr,https://www.marches-publics.info/fournisseurs.htm,,,,,False,True,,False,True
21-3883,CC Terres Touloises,None," Fabrice CHARTREUX, Président de la CC2T",,,Rue du Mémorial du Génie - CS 40325 - ÈCROUVES,54201,TOUL CÉDEX,,03-83-43-23-76,,03-83-64-90-42,e.deloge@terrestouloises.com,http://www.terrestouloises.com,https://terrestouloises.e-marchespublics.com,,,,,False,False,,False,False
21-2387,REIMS HABITAT CHAMPAGNE ARDENNE OFFICE,39279429300010,,,FRF23,71 avenue d'Epernay,51100,Reims,,(+33) 3-26-48-62-30,,,correspondre@aws-france.com,http://www.reims-habitat.fr/,http://www.reims-habitat.fr/Marches-publics,,,,,False,True,,False,True
21-6121,Cté de Communes des Hauts de Flandre,None,Monsieur le Président,,,468 rue de la couronne de Bierne,59380,Bergues,,,,,,http://marchespublics596280.fr/,http://www.cchf.fr,,,,,False,False,,False,False
21-24714,SYND INTERCOM DU BASSIN D ARCACHON,None,,,FRI12,16 allée Corrigan,33120,Arcachon,,(+33) 5-57-52-74-72,,,commande.publique@siba-bassin-arcachon.fr,http://www.siba-bassin-arcachon.fr,https://demat-ampa.fr,,,,,False,True,,False,True
21-28422,CA Provence Verte,None, DHENRY Mélanie,,,174 Route Départementale 554,83170,Brignoles,,04-98-05-24-83,,04-98-05-24-83,achats@caprovenceverte.fr,http://www.caprovenceverte.fr/,http://www.caprovenceverte.e-marchespublics.com,,,,,False,False,,False,False
21-34204,Ville de Billère,None,Monsieur le Maire,,,39 route de BayonneBP346,64146,Billere,,05-59-40-03-30,,,marchespublics@ville-billere.fr,,http://www.demat-ampa.fr,,,,,False,False,,False,False
21-7299,VILLE DE PERSAN,21950487500010,,,FR108,65 avenue Gaston Vermeire,95340,Persan,,(+33) 1-39-37-48-80,,(+33) 1-39-37-48-81,marches-publics@ville-persan.fr,http://www.ville-persan.fr/,http://www.ville-persan.fr/,,,,,False,True,,False,True
21-12257,Ville de Montluçon,21030185900018,,,FRK11,"Cité Administrative , Esplanade Georges Pompidou, 1, rue des Conches",03106,Montlucon,,(+33) 4-70-02-55-00,,,correspondre@aws-france.com,http://www.montlucon.com,http://agysoft.marches-publics.info,,,,,False,True,,False,True
21-15449,CDG16,28160013000013,,,FRI31,"30 rue denis Papin, Cs12213",16022,Angoulême,,(+33) 5-45-69-70-02,,(+33) 5-45-95-35-89,cdg16@cdg16.fr,http://www.cdg16.fr,http://www.marches-publics.info/,,http://www.marches-publics.info/,http://www.marches-publics.info/,,False,True,,False,True
21-40832,,,,,,,,,,,,,,,,,,,,,,,,
21-10983,Commission Syndicale,None,fabien camy-debat,,,maison de la vallée2 place duhourcau,65400,saint-Savin,,05-62-92-70-52,,,courriel@csvss.fr,,,,,,,False,False,,False,False
21-10359,COMMUNAUTE D AGGLOMERATION TULLE AGGLO,None,,,FRI21,rue Sylvain Combes,19000,Tulle,,(+33) 5-55-20-75-00,,,marches.publics@tulleagglo.fr,http://www.tulleagglo.fr/,http://www.marches-securises.fr,,,,,True,False,,False,True
21-3510,COMMUNAUTE D AGL LIMOGES METROPOLE,None, POUPARD Aurélie,,,"19, rue Bernard Palissy",87031,LIMOGES Cedex 1,,05-55-45-29-52,,,marches-publics@limoges-metropole.fr,http://agglo-limoges.e-marchespublics.com,http://agglo-limoges.e-marchespublics.com,,,,,False,False,,False,False
21-39369,SOCIETE DU CANAL SEINE NORD EUROPE,None,"M. Bouché Caroline, Société du Canal Seine-Nord Europe",,,134 rue de Beauvais,60280,Margny les compiègne,,03-44-40-74-98,,,,https://www.canal-seine-nord-europe.fr/,,,,,,False,False,,False,False
21-2072,COMMUNE D ESTREES SAINT DENIS,21600221200019,,,FRE22,15 rue de l'Hôtel de Ville,60190,Estrees Saint Denis,,(+33) 3-44-91-60-90,,,mairie@mairie-estrees-st-denis.fr,http://www.estreessaintdenis.fr,https://www.aws-entreprises.com/entreprise/avis,,,,,False,True,,False,True
21-4481,SDIS de l'Isère,None,,,FRK24,24 rue René Camphin,38600,Fontaine,,,,,gaf.marche.tous@sdis38.fr,http://sdis38.fr,http://sdis38.achatpublic.com,,,,,False,True,,False,True
21-22595,MPP LES CHARMILLES,None,,Catherine RODIER,FR,"rue des Cités Cuny, BP 20024 - THAON LES VOSGES",88151,CAPAVENIR VOSGES cedex,,(+33) 3-29-39-04-04,,,mleclerc@lescharmilles.org,http://www.klekoon.com,http://www.klekoon.com,,,,,False,True,,False,True
21-314,Mairie d'Albert,None,Bertrand FIEVET,,,Place Emile Leturcq,80300,Albert,,03-22-74-38-54,,,s.choquet@mairie-albert.fr,http://www.ville-albert.fr/,https://www.klekoon.com/appel-offres/acheteurs-publics/mairie-albert-86309,,,,,False,False,,False,False
20-158982,DEPARTEMENT DE LA CORREZE,None,,,FRI21,Hôtel du Département Marbot -9 rue René et Émile Fage - bp 199 - Service Affaires Juridiques et Achats,19005,Tulle cedex,,(+33) -05-55-93-74-76,,,marches@correze.fr,http://www.correze.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-4645,CC DRONNE ET BELLE,20004157200013,,,FRI11,Zae Pierre Levée,24310,Brantôme-En-Perigord,,(+33) 5-53-03-83-55,,,accueil@dronneetbelle.fr,http://www.dronneetbelle.fr,http://marchespublics.dordogne.fr,,,,,False,True,,False,True
21-20062,EPMS MARIE DU MERLE,26140098000049,,,FR,RUE DE LA SOURCE,14290,ORBEC,,(+33) 2-31-32-83-31,14290,(+33) 2-31-32-39-65,finances@epms-orbec.fr,https://www.epms-orbec.fr,https://demat.centraledesmarches.com/7057013,https://demat.centraledesmarches.com/7057013,https://demat.centraledesmarches.com/7057013,https://demat.centraledesmarches.com/7057013,,False,True,,False,True
21-34126,Syndicat Mixte de Châtenay-Malabry,25920037600020,,Hélène de DROUAS,FR105,"Hôtel du Département, 57 rue des Longues Raies",92000,NANTERRE,,(+33) -76-68-83-02,,,hdedrouas@hauts-de-seine.fr,https://www.e-marchespublics.com,,,,https://www.e-marchespublics.com/,,False,True,,False,True
21-1617,COMMUNE DE CHAMBERY,21730065600014,,,FRK27,"Hôtel de Ville, Place de l'hôtel de Ville",73011,Chambéry,,(+33) 4-79-60-20-94,,,marchespublics@mairie-chambery.fr,http://www.chambery.fr,http://www.chambery.fr,,,,,False,True,,False,True
21-25804,REGIE EAU D'AZUR,None,,"Service Achats, Marchés Publics",FRL03,Crystal Palace369 / 371 Promenade des Anglais - CS 53135,06203,Nice Cedex 3,,(+33) 4-89-98-14-87,,,marchespublics@eaudazur.com,http://www.eaudazur.com,https://www.marches-securises.fr,,https://www.marches-securises.fr,https://www.marches-securises.fr,,False,True,,False,True
21-116,MAIRIE-CHAUCONIN-NEUFMONTIERS,None,"Mme SEVERINE FERREIRA, RESPONSABLE SERVICE COMPTABILITE",MAIRIE DE CHAUCONIN-NEUFMONTIERS,,Place de la Mairie,77124,Chauconin-neufmontiers,,01-64-33-11-18,,01-64-33-97-54,finances@chauconin-neufmontiers.fr,http://chauconin-neufmontiers.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
20-159288,COMMUNE DE LONS-LE-SAUNIER,21390300800364,,,FRC22,4 avenue du 44ème R.I,39015,Lons-Le-Saunier Cedex,,(+33) 3-84-47-29-16,,,correspondre@aws-france.com,http://www.ville-lons-le-saunier.fr,http://www.lonslesaunier.fr/vos-demarches-ligne/marche-publics/,,,,,False,True,,False,True
21-16977,GROUPE HOSPITALIER NORD ESSONNE,None,,,FR104,4 PLACE DU GENERAL LECLERC,91406,Orsay cedex,,,,,cellulemarches@gh-nord-essonne.fr,https://www.gh-nord-essonne.fr,,,https://marches.maximilien.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=785720&orgAcronyme=a1y,https://marches.maximilien.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=785720&orgAcronyme=a1y,,False,True,,False,True
20-159239,VILLE D'AMBARES-ET-LAGRAVE,None,,"Madame Sophie FOUCHEZ, DGA",FRI12,18 Place de la Victoire,33440,Hôtel de Ville,,(+33) 5-56-77-34-77,,(+33) 5-56-77-34-78,mairie@ville-ambaresetlagrave.fr,http://www.ville-ambaresetlagrave.fr/,http://www.demat-ampa.fr,,,,,False,True,,False,True
21-18032,"CC de la Cléry, du Betz et de l'Ouanne",None,,,FRB06,569 route de Châtillon-Coligny,45220,CHATEAU-RENARD,,(+33) 2-38-95-25-15,,,juridique@3cbo.fr,http://www.3cbo.fr,http://www.marches-securises.fr,,,,,False,True,,False,True
21-31062,mairie de loon plage,None, Pascal MILLIOT,,,27 place de la République,59279,Loon-Plage,,(+33) 3-28-58-03-34,,,p.milliot@loonplage.org,,https://www.marches-securises.fr,,,,,False,False,,False,False
21-41311,,,,,,,,,,,,,,,,,,,,,,,,
21-14374,Université de Technologie de Compiègne,None,"Mme PIERRE Aline, Responsable marchés publics",,,Rue du Docteur Schweitzer CS 60319,60203,Compiegne,,03-44-23-49-14,,,marchesutc@utc.fr,http://www.utc.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,False,,False,False
21-43571,,,,,,,,,,,,,,,,,,,,,,,,
21-24681,SCE DEPARTEMENTAL INCENDIE ET SECOURS,28030023700052,,,FRK11,5 rue de l'Arsenal,03401,Yzeure,,(+33) 4-70-35-80-00,,,contact@sdis03.fr,http://www.sdis03.fr,https://www.agysoft.marches-publics.info,,,,,False,True,,False,True
21-2151,Université Savoie Mont Blanc,None,,Service des Achats et des Marchés,FRK27,"27, rue Marcoz BP 1104",73011,Chambéry cedex,,(+33) 4-79-75-83-89,,,service.achats-marches@univ-smb.fr,https://www.univ-smb.fr,https://marches-publics.gouv.fr,,,,,False,True,,False,True
21-4995,Ville de Vendargues,None,,M. le Maire,FRJ13,Place de la Mairie,34740,Vendargues,,(+33) 4-67-70-05-04,,,bruno.giraudo@vendargues.fr,https://vendargues.fr,https://marches.montpellier3m.fr,,,,,False,True,,False,True
21-8386,GIE ELEGIA,None,,M. Bernard LECA,FRK24,34 Rue Gustave Eiffel,38028,Grenoble cedex 1,,(+33) 4-76-70-97-97,,,b.leca@elegia-groupe.fr,https://elegia.achatpublic.com,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-32939,Institut de France,None,,,FR101,,None,Paris,,,,,secretariatjuridique@institutdefrance.fr,http://www.institutdefrance.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,True,False,,False,True
21-35182,COMMUNAUTE COM GORGES CAUSSES CEVENNE,None,Corinne BERTRAND,,,22 rue justin gruat,48400,FLorac trois rivières,,04-66-44-03-92,,,contact@ccgcc48.fr,http://www.gorgescaussescevennes.fr,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_q6S20FPCnE,,,,,False,False,,False,False
21-20868,CC DE LA HAUTE ARIEGE,None," NAUDY Alain, Président",,,13 RN 20,09250,LUZENAC,,05-61-64-68-00,,05-61-64-41-08,administration.generale@cc-hauteariege.fr,http://www.cc-hauteariege.fr/,http://cc-hauteariege.marches-publics.info/,,,,,False,False,,False,False
21-1084,CC AMBERT LIVRADOIS FOREZ,20007076100016,,,FRK14,15 avenue du 11 Novembre,63600,Ambert,,(+33) 4-73-72-71-40,,,magalie.monti@ambertlivradoisforez.fr,http://ambertlivradoisforez.fr,http://ambertlivradoisforez.fr,,,,,False,True,,False,True
21-9714,SDEE de la Lozère,None,,Aurélie MALLET,FRJ14,12 bd Henri Bourrillon,48000,MENDE,,(+33) 4-66-65-77-62,,,a.mallet@sdee48.fr,http://www.sdee-lozere.fr,https://sdee48.e-marchespublics.com,,https://sdee48.e-marchespublics.com,https://sdee48.e-marchespublics.com,,False,True,,False,True
20-159077,Centre hospitalier de Valenciennes,None,,,FRE11,Avenue Désandrouin,59322,Valenciennes,,(+33) -27-14-33-33,,,theillier-a@ch-valenciennes.fr,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,,,,True,False,,False,True
21-3804,GRAND PORT MARITIME DE LA MARTINIQUE,None,,,FRY20,HYDROBASE,97200,FORT DE FRANCE,,(+33) 5-96-59-00-00,,(+33) 5-96-71-35-73,commande.publique@martinique.port.fr,http://www.martinique.port.fr,,,,,,False,True,,False,True
21-877,CA Provence Verte,None, DHENRY Mélanie,,,174 Route Départementale 554,83170,Brignoles,,04-98-05-24-83,,04-98-05-24-83,achats@caprovenceverte.fr,http://www.caprovenceverte.fr/,http://www.caprovenceverte.e-marchespublics.com,,,,,False,False,,False,False
21-23597,Conseil départemental Loire-Atlantique,None,,,FRG01,Hôtel du département 3 quai Ceineray CS94109,44041,Nantes,,,,,contactmarchespublics@loire-atlantique.fr,https://marches.loire-atlantique.fr,,,https://marches.loire-atlantique.fr,https://marches.loire-atlantique.fr,,False,True,,False,True
21-12888,COMMUNAUTE D AGL LIMOGES METROPOLE,None, POUPARD Aurélie,,,"19, rue Bernard Palissy",87031,LIMOGES Cedex 1,,05-55-45-29-52,,,marches-publics@limoges-metropole.fr,http://agglo-limoges.e-marchespublics.com,http://agglo-limoges.e-marchespublics.com,,,,,False,False,,False,False
21-17937,EHPAD SAINT RIQUIER,None,,,FRE23,"7, rue de l'hôpital",80135,Saint-riquier,,(+33) 3-22-28-92-92,,,ehpad-demoulin@orange.fr,http://www.mdr-striquier.fr/,,,,,,False,True,,False,True
21-20871,CC DE LA HAUTE ARIEGE,None, NAUDY Alain,,,13 Route Nationale 20,09250,LUZENAC,,,,,,,http://www.cc-hauteariege.marches-publics.info/,,,,,False,False,,False,False
21-2155,DEPARTEMENT DU JURA,22390001000362,,,FRC22,17 rue Rouget de Lisle,39039,Lons Le Saunier,,(+33) 3-84-87-33-00,,,marches@jura.fr,http://www.jura.fr,http://marchespublics.jura.fr/,,,,,False,True,,False,True
21-35058,Mairie de Vert-Saint-Denis,21770495600010,,,FR10,2 rue Pasteur,77240,Vert-Saint-Denis,,,,,r.nasuti@vert-saint-denis.fr,http://www.vert-saint-denis.fr,http://vert-saint-denis.e-marchespublics.com,,,,,False,True,,False,True
21-9088,Commune de Monteux,21840080200011,,,FRL06,"28 place des Droits de l'Homme, CS 50074",84170,Monteux,,(+33) 4-90-66-97-00,,(+33) 4-90-66-32-97,ville.monteux@monteux.fr,http://www.monteux.fr,http://monteux.synapse-entreprises.com,,,,,True,False,,False,True
20-147168,Ville de Corbas,None,Monsieur le Maire,,,"Hôtel de ville, Place Jocteur",69960,Corbas,,,,,,,,,,,,False,False,,False,False
21-2314,Agglomération Région de Compiègne,None,,,FR,,None,compiegne,,,,,service.marches@agglo-compiegne.fr,https://marches.agglo-compiegne.fr,https://marches.agglo-compiegne.fr,,,,,False,True,,False,True
21-4083,CNFPT,None,,CNFPT - Direction de la commande publique Service des marchés de bâtiment,FR,"80, rue de Reuilly - CS 41232",75578,Paris cedex 12,,(+33) -11-55-27-44-00,,,commandepublique@cnfpt.fr,http://www.cnfpt.fr,,,,,,False,True,,False,True
21-6629,COM DE COMMUNES VITRY CHAMPAGNE DER,20003471800011,,Service des Marchés Publics,FRF23,Hôtel de Ville- BP 50425,51308,VITRY-LE-FRANCOIS CEDEX,,,,,secretariat.general@vitry-le-francois.net,http://www.vitry-le-francois.net,http://www.xmarches.fr/entreprise/,,,,,True,False,,False,True
21-36864,CCI de la Dordogne,None,,,FRI11,Boulevard des saveurs,24660,Coulounieix Chamiers,,,,,jm.derouet@dordogne.cci.fr,http://www.dordogne.cci.fr,http://www.marches-publics.gouv.fr,,http://www.marches-publics.gouv.fr,http://www.marches-publics.gouv.fr,,True,False,,False,True
20-120877,CCAS d'Hagetmau,None,"CCAS d'Hagetmau, représenté par la Soderec, mandataire",,,Rue Robert Caumont Immeuble P,33049,Bordeaux,,,,,ssonrel@lasoderec.com,http://www.lasoderec.com,http://www.marches-securises.fr,,,,,False,False,,False,False
21-39675,,,,,,,,,,,,,,,,,,,,,,,,
21-19744,Amiens Métropole - Musées,None,Karine Gauthier-Van Sante,,,Hôtel de ville,80000,Amiens,,,,,,http://amiens.fr/marchespublics,,,,,,False,False,,False,False
21-4996,Département du Loiret,22450001700013,,,FRB06,Département du Loiret,45945,Orléans,,,,,srm.marches@loiret.fr,http://www.loiret.fr,http://www.marches-publics.loiret.com,,,,,False,True,,False,True
20-139543,SDIS des Ardennes,None,,,FR,42 Bis Route de Warnécourt,08000,Prix-Les-Mézières,,(+33) 3-24-32-46-00,,,marche@sdis08.fr,http://www.sdis08.com,http://www.achatpublic.com,,,,,False,True,,False,True
21-28404,ville de Lourdes,None,,,FRJ26,"2, Rue de l'Hôtel de Ville BP 709",65107,LOURDES,,,,,marchespublicsonline@ville-lourdes.fr,https://www.lourdes.fr,https://lourdes.e-marchespublics.com,https://lourdes.e-marchespublics.com,https://lourdes.e-marchespublics.com,https://lourdes.e-marchespublics.com,,False,True,,False,True
21-13792,REGIE EAU D'AZUR,None," Service Achats, Marchés Publics",,,Crystal Palace369 / 371 Promenade des Anglais - CS 53135,06203,Nice Cedex 3,,(+33) 4-89-98-14-87,,,marchespublics@eaudazur.com,http://eaudazur.com,https://www.marches-securises.fr,,,,,False,False,,False,False
21-2632,Ville d'ABBEVILLE,21800001600012,,Marches Publics,FR,1 Place Max Lejeune - BP 20010,80101,ABBEVILLE Cedex,,(+33) 3-22-25-43-47,,,mp@abbeville.fr,https://demat.centraledesmarches.com,https://demat.centraledesmarches.com,https://demat.centraledesmarches.com/7054571,https://demat.centraledesmarches.com/7054571,,,False,True,,False,True
21-38699,Decazeville communauté,None,,,FRJ22,Avenue du 10 août,12300,Decazeville,,,,,contact@decazeville-communaute.fr,https://www.decazeville-communaute.fr/,https://marchespublics-smica.safetender.com/,,,,,False,True,,False,True
21-11008,Groupe ephese,20003070800016,,Madame DELHAYE Nathalie,FRE21,PLACE DE L'HOTEL DE VILLE,02350,LIESSE NOTRE DAME,,(+33) 3-23-22-36-40,,,nathalie.delhaye@ephese02.fr,https://achat-sante.safetender.com,https://achat-sante.safetender.com,,,,,False,True,,False,True
21-14339,EPCC Pont du Gard,None," ARNAUX Sébastien, Directeur Général",,,"La Bégude, 400, route du Pont du Gard",30210,VERS PONT DU GARD,,04-66-37-50-99,,04-66-37-51-52,correspondre@aws-france.com,http://www.pontdugard.fr,http://agysoft.marches-publics.info,,,,,False,False,,False,False
21-20293,PREFECTURE AQUITAINE-SGAR-MRA,None,,,FRI,4 b esplanade Charles de Gaulle,33000,Bordeaux,,(+33) 5-56-90-65-23,,,pfra@nouvelle-aquitaine.gouv.fr,https://www/marches-publics.gouv.fr,,,,,,False,True,,False,True
21-25710,MAIRIE DE CARIGNAN DE BORDEAUX,None,"Mme MAIRIE_33_149 Admin, Mairie de carignan de bordeaux",,,"24, rue de verdun - b.p. 48",33360,Carignan de bordeaux,,05-56-21-21-62,,,,http://www.carignandebordeaux.fr,,,,,,False,False,,False,False
21-3905,CTRE DEP GEST FONCTION PUB TERRITORIAL,None,,,FRI14,,47901,AGEN,,,,,contact@cdg47.fr,http://www.cdg47.fr,http://www.demat-ampa.fr,,,,,False,True,,False,True
21-20242,"SAERP, MANDATAIRE DE LA RIF",None,,Victor CHIVOT,FR102,90-92 avenue du Général Leclerc,93500,Pantin,,(+33) -11-83-65-37-47,,,v.chivot@idf-constructiondurable.fr,https://marches.maximilien.fr,http://www.iledefrance.fr/marches-publics/,,https://marches.maximilien.fr/index.php?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=763113&orgAcronyme=t5y,https://marches.maximilien.fr/index.php?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=763113&orgAcronyme=t5y,https://marches.maximilien.fr/?page=entreprise.EntrepriseAdvancedSearch&AllCons&id=763113&orgAcronyme=t5y,False,True,,False,True
21-32195,COMMUNE LE LUC,None, Monsieur le Maire,,,Hôtel de Ville3 place de la Liberté,83340,Le Luc en Provence,,(+33) 4-94-50-01-00,,,k.abbad@mairie-leluc.fr,http://www.mairie-leluc.com,https://www.marches-securises.fr,,,,,False,False,,False,False
21-12366,Institut Vancauwenberghe,None,Billet Thierry,,,BP 90052,59123,Zuydcoote,,,,,,,,,,,,False,False,,False,False
21-35126,SYDEME,None,,,FRF33,1 rue jacques callot,57600,Morsbach,,(+33) 3-87-00-01-01,,,h.martin@sydeme.fr,http://www.sydeme.fr,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_ZFiu_C3P60,https://www.achatpublic.com/sdm/ent/gen/ent_detail.do?PCSLID=CSL_2021_ZFiu_C3P60,,False,True,,False,True
21-41283,,,,,,,,,,,,,,,,,,,,,,,,
21-8086,ville d'Argenteuil,None,,,FR108,12 boulevard Léon Feix,95100,Argenteuil,,,,,florian.boussoumah@ville-argenteuil.fr,http://www.argenteuil.fr/,https://www.achatpublic.com/sdm/ent/gen/index.jsp,,,,,False,True,,False,True
21-25499,COMMUNE DE SANARY SUR MER,21830123200011,,Emilie CARA,FRL05,1 place de la RépubliqueCS 70001,83112,Sanary sur Mer,,(+33) 4-94-32-97-00,,,emilie.cara@sanarysurmer.com,https://www.sanarysurmer.com,https://www.marches-securises.fr/perso/Sanary-sur-Mer_83/,,,,,False,True,,False,True
21-13083,Ville de Corbas,None,Monsieur le Maire,,,place Charles Jocteur,69960,Corbas,,04-72-90-03-00,,,,,http://marchespublics.grandlyon.com,,,,,False,False,,False,False
21-36608,Commune de La Ferté Alais,None, Roblin Laure,,,5 Rue des Fillettes,91590,La Ferté-Alais,,01-69-90-88-44,,,mairie@lafertealais.fr,http://www.lafertealais.fr,,,,,,False,False,,False,False
21-15071,Centre Hospitalier Sud Francilien,None,"Mme Linxe Cathy, acheteur",Direction des Affairres Juridiques - Cellule des Marchés,,"40, Avenue Serge Dassault",91106,Corbeil-essonnes,,01-61-69-55-08,,,cathy.linxe@chsf.fr,http://www.ch-sud-francilien.fr,,,,,,False,False,,False,False
21-14599,Ville d'Orléans,21450234600015,,,FRB06,Place de l'Etape,45040,Orléans,,(+33) 2-38-78-40-30,,,marches.publics@orleans-metropole.fr,http://www.orleans-metropole.fr/,http://marches-publics.orleans.fr/accueil.htm,,http://marches-publics.orleans.fr/accueil.htm,http://marches-publics.orleans.fr/accueil.htm,,False,True,,False,True
21-5875,COMMUNE DE SAINT AMAND MONTROND,21180197200012,,,FRB01,2 rue Philibert Audebrand,18206,Saint Amand Montrond,,(+33) 2-48-63-83-00,,,correspondre@aws-france.com,http://www.ville-saint-amand-montrond.fr/,http://agysoft.marches-publics.info/,,http://agysoft.marches-publics.info/,http://agysoft.marches-publics.info/,,False,True,,False,True
21-6045,SIEP du Santerre,None,Sandrine PETIT,,,1 rue d'Assel,80170,Rosières en Santerre,,03-22-88-45-27,,,s.grez@siep-du-santerre.fr,http://siep-du-santerre.fr,http://marchespublics596280.fr,,,,,False,False,,False,False
21-38908,SPLAAD,None, Service Marchés,,,40 avenue du Drapeau - CS 77418,21074,Dijon cedex,,03-45-83-90-13,,,marches@splaad.com,http://www.splaad.com,https://marches.ternum-bfc.fr/,,,,,False,False,,False,False
